NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	0.8	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.2	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.295	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.3	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.305	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.4	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	-0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	-0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	-0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	0.0	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	0.005	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	0.1	7.66	10.35	8.67	\ldots	8.62	\ldots	
NGC 4552	\cap	15.3	1.68	15.41	1.48	1.8	0.5	7.66	10.35	8.67	\ldots	8.62	\ldots	
