NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.97	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.97	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.975	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.965	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.07	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.87	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	2.47	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	0.55	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	0.555	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	0.545	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	0.65	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	0.45	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	1.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
NGC 596	\	21.2	2.56	18.03	0.76	1.47	0.05	4.16	10.29	8.69	-5.01	7.69	-4.52	
