GALAXY: NGC 4239_2
Menc:

mesg frac = 0.0
Mencgood ran in 	 0:00:01.020000

psi:
psi2,	 i = 80,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 81,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 82,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 83,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 84,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 85,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 86,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 87,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 88,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 89,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 90,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 91,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 92,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 93,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 94,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 95,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 96,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 97,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 98,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 99,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 100,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 101,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 102,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 103,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 104,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 105,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 106,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 107,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 108,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 109,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 110,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 111,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 112,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 113,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 114,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 115,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 116,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 117,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 118,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 119,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 120,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 121,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 122,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 123,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 124,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 125,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 126,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 127,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 128,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 129,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 130,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 131,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 132,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 133,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 134,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 135,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 136,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 137,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 138,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 139,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 140,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 141,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 142,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 143,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 144,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 145,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 146,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 147,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 148,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 149,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 150,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 151,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 152,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 153,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 154,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 155,	 message = The integral is probably divergent, or slowly convergent.
psi2,	 i = 156,	 message = The integral is probably divergent, or slowly convergent.
